Id,Text,User Name,Date of Tweet,Like Count,Comment Count,retweet Count,View count,countOfWords,countOfPositive,countOfNegative,Art,Health,Politics,Science,Sport
14,Joe Biden’s White House Involved in Raid on Donald Trump’s Mar-a-Lago Residence. Is anyone surprised?,RepTroyNehls,11h,3902,505,1515,157500,15,0,0,0,0,1,0,0
15,Donald Trump has failed to meet the deadline to disclose his personal financial holdings. The threatened initial penalty — a meager $200 — is the latest sign of how weak federal enforcement of campaign laws has become.,nytimes,9h,8097,530,2633,726800,37,1,4,0,0,1,0,0
16,The Dalai Lama tells young Indian Boy to suck on his tongue. This is the same Dalai Lama who once said Donald Trump lacks moral principal! There's a reason they all fear Trump!,reneeAZpatriot4,17h,1234,144,872,36000,33,1,3,0,0,1,0,0
17,""" The keyword $BTC has surpassed #DonaldTrump and a series of other famous keywords to become the most searched keyword today in the United States . """,tranhoan_37,3m,0,0,0,16,27,1,0,0,0,1,0,0
18,"Former President Donald Trump, all those lies you been telling and spreading is finally going to catch up with you, Trump, and the truth about you being a scoundrel, Trump, lying to America's ""working class and poor,"" and claiming you are their champion, lol.",jwtm13579,5m,1,0,0,4,44,0,2,0,0,1,0,0
19,"DA Alvin Bragg has fired back at Kevin McCarthy's attempts to interfere with his ongoing criminal investigations into Donald Trump. I stand with Bragg and the rule of law, and next year, voters will help me defeat McCarthy.",JhonBurrowCA,13h,722,7,198,9828,38,1,2,0,0,1,0,0
20,I love Women for Donald Trump! I’d much rather know her than a Transgender thing they try to call Women!,gregory186787,4h,16,2,5,382,20,1,0,0,0,1,0,0
21,Would you let Donald Trump near your daughters?,pesachlattin,11h,31,46,16,4753,8,1,0,0,0,1,0,0
22,I miss Presidents that attend press conferences and answer questions. (AKA Donald Trump),Sassychickie,12h,242,22,34,3074,13,0,1,0,0,1,0,0
23,"I don’t know who needs to hear this, but Donald Trump received more votes than any Republican in the history of our country… and if you think this was a legit election , you deserve the future the Democrats have in store for you.",NnPnemck,21h,236,14,94,5376,44,1,0,0,0,1,0,0
24,I’m not being dramatic when I say Donald Trump could use the “N” word during a prime time speech on TV and the only thing that would happen is his approval numbers would go up.,Jo_IsABitch,8h,120,20,8,2220,35,2,0,0,0,1,0,0
25,"DISGRACEFUL! Florida GOP Congressman Cory Mills told TIME that he’s endorsing Donald Trump for President AFTER his criminal indictment. Mills, a freshman member of Congress, represents a Central Florida district. Get this: Mills says that he’s endorsing Trump to “unify” the…",joncoopertweets,13h,8356,1580,1477,1800000,41,2,1,0,0,1,0,0
26,Stormy Daniels: I'll go to jail before I pay Donald Trump a penny. Us:,redvoicenews,24h,220,121,72,33000,14,1,1,0,0,1,0,0
27,"I just found out tonight that the J6 Insurrection has already cost the United States $2.6 Billion in investigation and legal costs to convict and incarcerate the guilty. 
I say when Donald Trump is convicted of concocting & inciting an insurrection, he should be ordered to pay…",mikecleere,7h,61,5,15,632,47,1,1,0,0,1,0,0
28,"'Fox News' has just been reclassified into the Romper Room and Sesame Street category, to please their most ardent follower; 8-year-old Donald Trump.",RickOceanMusic,16m,9,1,3,211,23,1,0,0,0,1,0,0
29,Questions Donald Trump does NOT want answered! Why was Vice President Mike Pence's security badge disabled during the insurrection?,JamesTate121,8h,117,5,44,5923,19,1,2,0,0,1,0,0
30,Donald Trump Jr. seems to think he's getting hit with treason charges or something,PalmerReport,8h,1020,63,194,41900,14,1,1,0,0,1,0,0
31,Donald Trump's favorability rating collapses to 25%. Obstruction of Justice has consequences. #TrumpisaNationalDisgrace,CrockerBoy,2h,11,2,2,308,13,0,1,0,0,1,0,0
32,The real reason they want you to hate Donald Trump.,nickveniamin,24h,142,4,83,4011,10,0,1,0,0,1,0,0
33,"Donald Trump and a list of Republican lawmakers are now contemplating the use of the US military to attack drug cartels in Mexico, even though the vast majority of fentanyl is sourced from China. My question is, does this mean that the Canadian military could be used by the…",EdKrassen,1h,882,385,136,232100,49,1,1,0,0,1,0,0
34,I U Donald Trump!!! https://youtu.be/-Ti1b-RRBjI,stephanegaddis,20m,23,5,5,404,5,0,0,0,0,1,0,0
35,We cannot risk our entire country because Donald Trump wants a do over. #DeSantis2024,GovRealDeal,1h,33,122,7,226,14,1,1,0,0,1,0,0
36,Huge news.,DineshDSouza,13h,2653,105,662,118100,2,0,0,0,0,1,0,0
37,Adin Ross talks about his experience meeting former president Donald Trump.,AdinUpdate,12h,66,122,1,5673,11,0,0,0,0,1,0,0
38,"I don’t care if you’re attractive and I don’t care if you graduated from college and I don’t care if you have a job but if you hate Donald Trump as much as I do, I want to marry you.",TheFungi669,9h,193,22,13,1884,40,2,1,0,0,1,0,0
39,"Keir Starmer is the UK equivalent to Donald Trump. Both will say and do anything to get power, lying comes naturally to both of them and neither of them has historically supported the party that they went on to lead. #NeverStarmer",snoopdogtanian,24h,380,50,218,13500,41,1,1,0,0,1,0,0
40,"Any law enforcement agency that Donald Trump calls ""corrupt"" are really just holding him accountable for his various crimes he is guilty of. The orange menace found out he is not above the law and now throws temper tantrums everyday.",JamesTate121,8m,7,122,2,60,40,1,3,0,0,1,0,0
41,Whoever deleted those Secret Service text messages should go to prison along with Donald Trump.,theliamnissan,24h,7608,74,599,12500,15,0,1,0,0,1,0,0
42,Nahhhh Adin Ross and Jidion got to shake hands with Donald Trump,iaintisiah,24h,185,4,4,23000,12,1,1,0,0,1,0,0
43,"Donald Trump launched the greatest political movement in our history, dealt death blows to the globalist takeover of America (saved SCOTUS) & reinvigorated the badly injured American spirit Ron Desantis ended his lockdown earlier than other states There’s no comparison",_johnnymaga,12h,403,31,74,8031,40,2,2,0,0,1,0,0
44,[empty],,,3483,122,538,248461,1,0,0,0,0,1,0,0
45,"Donald Trump should have his bail revoked immediately. He should be held in jail until his trial. Not only is he a flight risk, but he will likely commit even more crimes now that he is out on bail. Do you agree? Yes or No?",ericareport,9h,428,164,92,7374,45,1,0,0,0,1,0,0
46,We don’t have to say “let’s go Brandon!” We already have “Fuck Donald Trump!”,Pfleeceman,3h,106,2,19,1506,14,0,0,0,0,1,0,0
47,Report: Joe Biden’s White House Involved in Raid on Donald Trump’s Mar-a-Lago Residence,TexasBob53,2h,0,0,0,10,13,0,0,0,0,1,0,0
48,Donald Trump Warned That World War III Is Almost Here,PatrioticOn22,2h,0,0,0,8,10,1,1,0,0,1,0,0
49,"It is simple, donald trump is a corrupt individual and he has been basically all his life. Those of you still support him need to look at yourselves in the mirror, and ask, ""What the fuck is wrong with me?""",slenarz,2h,20,0,5,116,40,2,3,0,0,1,0,0
50,"#Breaking: The major criminal investigations into Donald Trump, explained",deepeaknegi07,2h,0,1,1,23,9,0,1,0,0,1,0,0
51,#estacreciendo el rechazo por Donald Trump #Alejandrosanz,rolitoensua,2h,0,0,0,10,7,1,0,0,0,1,0,0
52,How far down can Donald Trump drag America?,AndrewC66721154,2h,0,0,0,5,8,1,1,0,0,1,0,0
53,We’re so so glad that Donald Trump is FINALLY being held accountable for one of his many crimes! But pressure is growing for President Biden to PARDON Donald Trump.,LimenAdnan,3h,0,0,0,3,29,3,0,0,0,1,0,0
54,"Donald Trump will seek the presidency in 2024, according to Sean Spicer.",TrueVoice200,3h,0,0,0,11,12,1,0,0,0,1,0,0
55,"How smart was derailed Donald Trump dictatorship by Electoral College, otherwise America could been farther from the truth.",Dumboll,3h,1,0,0,4,18,2,0,0,0,1,0,0
56,"Donald Trump's twin brother Ronald Trump is locked in a dungeon in Trump Tower. He is quite mad, believing in climate change, gun control, and being a law-abiding citizen.",oldjumpers,3h,23,1,1,757,29,2,1,0,0,1,0,0
57,#NoPudieronNiPodrán El circo político tras el arresto de Donald Trump.,MDCamacaro,3h,0,0,6,17,10,0,0,0,0,1,0,0
58,"The left calls Elon Musk “Breast Obsessed” by covering the W in Twitter when it’s done as a joke, but glorifies someone pretending to change their sex",4Mischief,1h,32,0,13,3641,27,0,0,0,0,0,1,0
59,Cool name..! #YOSHIKI #X　#XJAPAN　#Twitter　#TwitterJapan ,YoshikiOfficial,18m,1205,63,592,67000,7,1,0,0,0,0,1,0
60,"Elon Musk is worth $188B. He's the most richest person in the world. This is his bedroom, make nobody pressure me again.",abduljoe11,3h,187,19,71,17000,22,1,0,0,0,0,1,0
61,Vladimir Zelensky met with former British billionaire Richard Branson Branson has just filed for bankruptcy his company that was supposed to compete with Elon Musk rightfully meets the president of the world's most bankrupt nation they also share the pleasure of white snow,its_maria012,4h,55,14,15,4476,43,2,1,0,0,0,1,0
62,"Elon Musk makes fun of the Federal Reserve, saying World of Warcraft economy is lightyears better.",WhaleChart,2h,337,49,337,13000,16,1,0,0,0,0,1,0
63,Interesting...Elon Musk is worth $188B. One of the richest people in the world. This is his bedroom: ,pmcafrica,2h,122,42,28,47000,17,1,0,0,0,0,1,0
64,"NEW Twitter Inc. no longer exists and has been absorbed by Elon Musk-owned X Corp in plans to become an ""everything app"" like China's WeChat.",RadarHits,33m,419,39,70,21000,25,1,0,0,0,0,1,0
65,"Hey, ",FellaSnape,34m,127,50,63,1353,1,0,0,0,0,0,1,0
66,Replying to,elonmusk,4h,63000,3289,3790,3000000,2,0,0,0,0,0,1,0
67,Elon Musk helps Russian propaganda. He refuses to block Russian calls for the genocide of Ukrainians ,StratcomCentre,1h,128,9,58,7782,16,0,2,0,0,0,1,0
68,Something must be wrong with that ,hon_Asadiq,1h,43,9,14,1996,6,0,1,0,0,0,1,0
69,Guysss Elon Musk dmed me but why is he have only 243 followers pvt account hmm,Nknilay07,1h,12,11,2,193,16,0,0,0,0,0,1,0
70,"Save the Climate, Drive Electric Elon Musk must be a Genius https://twitter.com/doubleDutchquak/status/1604829837515956225?s=20",doubleDutchquak,5h,54,6,35,3997,12,1,0,0,0,0,1,0
71,"Shebi on twitter all of us are rich now 200k salary na small money 20k hotel no make sense 5k and 12k nails na trenches We are all jeff bezos and elon musk outchere WHAT GOD CANNOT DO , DOES NOT EXIST Hallelujah",neduokoyee,3h,22,8,19,2064,43,1,0,0,0,0,1,0
72,"Elon #Musk a viré 90% des effectifs de #Twitter, et ça marche aussi bien qu'avant : est-ce qu'on ne devrait pas faire la même chose avec le #gouvernement ? #Supprime",TheAnverSolal,5h,540,37,225,11000,30,0,0,0,0,0,1,0
73,Elon Musk is 100% pro-Russian genocide-supporting Putin’s asset. Everything he does points at his cooperation with Russian government,VsimPohuy,2h,390,6,59,12000,18,0,0,0,0,0,1,0
74,Breaking News Seems Elon musk just changed Twitter’s logo to ,utep_eth,1h,13,16,5,2682,10,0,1,0,0,0,1,0
75,"Elon Musk refused to delete Dmitry Medvedev's tweet that ""Ukraine will disappear... because no one needs it.” Musk noted that people should make their own decisions on this matter. That's the right decision. P.S. His uniform fits him well ",onlydjole,2h,15,1,1,366,39,2,1,0,0,0,1,0
76,People give up reporting crime when no action is taken or the criminal is immediately released. They actually call it “catch and release”.,elonmusk,5h,15000,873,2407,760000,23,0,2,0,0,0,1,0
77,This is an AI generated image. ,YoadBH,5h,7,1,4,415,6,0,0,0,0,0,1,0
78,@NigBarAssoc,AnyiDonFrank,3h,14,122,45,295,1,0,0,0,0,0,1,0
79,Here... we... go.,SmokeAwayyy,5h,137,8,7,9215,3,0,0,0,0,0,1,0
80,They know this but don’t care,abnheel,25s,0,122,0,248461,6,0,0,0,0,0,1,0
81,Waking up to reduced followers. Me to ,ifu_naya2,4h,24,1,21,356,7,0,0,0,0,0,1,0
82,"Elon, it's censorship that turns information into propaganda. If there is no directed censorship on Twitter, then people will figure out for themselves what is false and what is true. We hope you can continue to let the blue bird tweet freely ",vicktop55,7h,29,2,5,971,42,0,1,0,0,0,1,0
83,"Elon Musk's Tesla company will manufacture shipping container-sized batteries in Shanghai designed to store large amounts of electricity, Euronews reports.",Spriter99880,2h,10,0,1,1442,20,0,0,0,0,0,1,0
84,You should call your employees from now on X-Men ,AdamLowisz,5h,197,9,2,6625,9,0,0,0,0,0,1,0
85,Elon Musk is going to use Twitter to put the mainstream media on life support!,MattWallace888,7h,1266,84,119,29000,15,0,0,0,0,0,1,0
86,Elon Musk’s crowning achievement in life will be unintentionally proving that capitalism is NOT a meritocracy,KateGoesTech,5h,41,9,3,1443,16,2,0,0,0,0,1,0
87,"The left calls Elon Musk “Breast Obsessed” by covering the W in Twitter when it’s done as a joke, but glorifies someone pretending to change their sex",4Mischief,3h,35,122,13,3711,27,0,0,0,0,0,1,0
88,"NEW: Twitter “no longer exists” after merging with a newly formed shell firm called X Corp., driving speculation about what Elon Musk intends for the social media platform",business,7m,23,6,27,14000,28,0,0,0,0,0,1,0
89,We have some of our best discussions with our kids :),AliciaHamilton0,46m,8,1,1,116,11,1,0,0,0,0,1,0
90,I would usually agree but Spotify in they Elon musk twitter era rn ,jordanisaiaha1,1h,5,0,1,591,13,0,0,0,0,0,1,0
91,You dey Ghana here dey tag Elon Musk. Kasoa self e no go reach,1DONORTEGA,51m,3,122,2,28,14,0,0,0,0,0,1,0
92,Ellen Musk I need a blue flag and I don't have any money,sos12xx,28m,1,1,0,43,13,0,0,0,0,0,1,0
93,"NEW Twitter Inc. no longer exists and has been absorbed by Elon Musk-owned X Corp in plans to become an ""everything app"" like China's WeChat.",cryptodailyTS,36m,20,1,3,456,25,1,0,0,0,0,1,0
94,"My vision is for a fully reusable rocket transport system between Earth and Mars that can re-fuel on Mars. This is very important, so you don't have to carry the return fuel when you go there. - Elon Musk",iishmalkhan,25m,0,122,0,248461,39,0,0,0,0,0,1,0
95,Elon Musk took over Twitter last fall pledging transparency. But Twitter's been failing to disclose some political ads running on its site since early March. How many other political ads will go unreported?,CREWcrew,2h,126,2,56,7503,33,0,2,0,0,0,1,0
96,Elon Musk is moving forward with a new generative AI project at Twitter after purchasing thousands of GPUs,BusinessInsider,1h,27,4,17,16000,18,0,0,0,0,0,1,0
97,"Elon Musk is said to be moving forward with an artificial-intelligence project within Twitter recently purchasing roughly 10,000 GPUs - Insider",StockMKTNewz,57m,77,5,13,14000,21,0,0,0,0,0,1,0
98,It’s all gone wrong between Twitter CEO Elon Musk and reporter Matt Taibbi.,the dailybeast,36m,16,2,5,2936,13,0,1,0,0,0,1,0
99,"Elon Musk is going to visit China next weekend The billionaire's schedule is expected to include a meeting with Shanghai's local authorities, reports the India Times. There is no official information about Musk's trip to China yet. Slavyangrad",its_maria012,3h,10,122,1,302,38,0,0,0,0,0,1,0
100,"Sarcasm Don't let your farts go to waste. Elon Musk is secretly working on a project 'Paad Charge' - word inspired from Hindi word 'पाद' to generate electricity. Initially, people will be able to charge their phones with their farts, Thread 1/3",PappiPunyatma,5h,21,2,12,924,42,0,1,0,0,0,1,0
101,His sense of humor stopped developing at 12. #ElonMusk,rocam54,5h,11,5,2,298,9,1,0,0,0,0,1,0
102,"Twitter Inc. no longer exists. From now it’s Corp. Elon Musk-owned X Corp. has absorbed Twitter Inc. as the first step to becoming an ""everything app"" similar to China's WeChat.",vegastarr,43s,1,0,1,21,30,0,0,0,0,0,1,0
103,Elon Musk is a threat to America’s national security. The USA should seize all his assets and banish him to Saudi Arabia.,fake_biden,8m,11,122,7,223,22,0,2,0,0,0,1,0
104,"This is what happens when you’re grifted so successfully that your 1st instinct is to jump to an insane conspiracy theory rather than use the smallest amount of cells, and remember what the population was doing during those years. Elon Musk and his keepers ladies and gentlemen",TaylorBickfordJ,5m,0,0,0,8,47,1,2,0,0,0,1,0
105,"A Rainbow is a sign of Hope and Love, Sow Love, I will say it was a Beautiful Perfect Day",GROWMOVEMENT2U,36m,13,4,1,784,20,2,0,0,0,0,1,0
106,"JUST IN: Elon Musk jokes Fed's economy lags behind ""World of Warcraft"".",CoingraphNews,4h,47,0,17,7314,12,0,1,0,0,0,1,0
107,"I challenge any of you to post actual evidence (an Infowars video that was edited doesn't count) that I am actually paid by anyone. Here's a hint. You can't, because I'm NOT!",krassentstein,5h,1308,337,15,100000,32,0,0,0,0,0,1,0
108,o elon musk averiguou que o perfil da amanda violou regras sanitárias,riqueluix,4h,8,0,1,306,12,0,0,0,0,0,1,0
109,"Una see Elon Musk Bedroom Among the Richest men in the world , Abeg Make Nobody Pressure me",adams_jbt,4h,0,0,0,13,18,0,0,0,0,0,1,0
110,Is anyone else completely unable to select “Show fewer Tweets from elonmusk”? ,DruidDobby,5h,3,2,0,222,12,0,1,0,0,0,1,0
111,"NEW: Twitter “no longer exists” after merging with a newly formed shell firm called X Corp., driving speculation about what Elon Musk intends for the social media platform",technology,4h,7,1,16,3401,28,0,0,0,0,0,1,0
112,"Elon Musk said—Small price changes generate a large volume of orders. Tom Zhu said China price changes generate more orders than Tesla can make. Like Tesla may have data others don’t. (Sarcasm). Well, they do: A sophisticated variable pricing model. It isn’t a secret—& It Works.",SF___Tahoe,4h,12,122,1,163,46,2,0,0,0,0,1,0
113,Elon Musk too knew all about #Kejriwal ,NagarJitendra,44m,87,9,42,798,7,0,0,0,0,0,1,0
114,"BREAKING NEWS: CNN blasts Elon Musk, reveals that Twitter’s “brand value” has “crumbled” under his “erratic” leadership because his strange, immature “antics” have led to a sharp decline in Twitter’s reputation and advertising business. Elon Musk’s biggest mistake was to invite…",OmarRiverosays,11m,218,5,76,10000,41,3,4,0,0,0,1,0
115,Elon Musk Twitter vs Substack Writers Matt Taibbi and Dr. Robert Malone protest the loss of free speech and independent journalism,RWMaloneMD,53m,211,19,60,18000,21,1,2,0,0,0,1,0
116,"Elon Musk falou q compraria o Twitter pra dar 100% de liberdade de expressão. Exceto qnd afeta ele ou prejudica a empresa dele. Ele censurou a tag ""Twitter apoia massacres"", mas se recusa a apagar contas q realmente apoiam e incentivam massacres em escolas.",felipeneto,44m,7133,204,1534,158000,44,0,1,0,0,0,1,0
117,Elon Musk CENSUROU a tag TWITTER APOIA MASSACRES. Elon Musk não quer que você use a tag TWITTER SUPPORT MASSACRES. Você vai obedecer o Elon? ,slpng_giants_pt,7m,460,21,217,8982,25,1,0,0,0,0,1,0
118,"Tesla Shareholders, vote prior to Annual Meeting. Tesla Co-Founder JB Straubel nominated to Tesla Board of Directors. Re-elect Elon Musk & Robyn Denholm.",SF___Tahoe,3h,66,6,5,2877,23,0,0,0,0,0,1,0
119,Someone said even if BTS or Elon Musk or even the official twitter account give Efo Slim shoutout he still won’t blow. If “life is hard” was a person ,GhanaYesue_,32m,57,5,32,922,29,0,0,0,0,0,1,0
120,"I thought this was a meme, but then I remembered gardening is a real thing",NotElonMusk,2h,16,4,3,392,15,0,0,0,0,0,1,0
121,"ATENÇÃO: Após Elon Musk censurar a tag TWITTER APOIA MASSACRES, internautas sobem a tag em inglês. TWITTER SUPPORTS MASSACRES",choquei,7m,975,67,137,41000,19,1,1,0,0,0,1,0
122,"Elon musk we don start again, bye for now 🥲",9m,11,3,3,4,309,10,0,0,0,0,0,1,0
123,a little classic Jim Carrey sound up,jbrown11871,1m,0,0,0,6,7,1,0,1,0,0,0,0
124,"Me fez lembrar de uma época da vida em q assistir a um filme do Jim Carrey (poizé) em q ele só podia dizer sim, e nesse período eu resolvi q faria o mesmo (dentro do possível). Foi um período interessante.",Nadynne,2m,0,1,0,1,41,0,0,1,0,0,0,0
125,"Hubs and the Boyspawns are having a Jim Carrey marathon, oh joy. So far, Liar Liar and Bruce Almighty.",kizletwiggle,3m,2,3,0,1,19,0,1,1,0,0,0,0
126,Iconic Jim Carrey humor.,NotDafia,24m,3,122,0,33,4,0,0,1,0,0,0,0
127,"One of Jim Carrey's other greatest drama films, Eternal Sunshine",Chris53891059,24h,177,1,5,4356,10,1,0,1,0,0,0,0
128,The shouldn't have let Jim Carrey talk... Now it's too late... ,foortheculture,24h,6,1,0,424,11,0,0,1,0,0,0,0
129,"If Jim Carrey doesn’t reprise his role as Eggman for Sonic 3 before his planned retirement, that movie is doomed.",MevansOdyssey,24h,328,24,42,7753,20,0,0,1,0,0,0,0
130,Yep. Jim Carrey makes me feel squicky.,kizletwiggle,24s,0,0,0,248461,7,0,0,1,0,0,0,0
131,"Cardio hj é ao lado do Jim Carrey Soldado. Uma inspiração, eu diria.",01lyrae,3m,0,122,0,0,13,0,0,1,0,0,0,0
132,Jim Carrey. Lil Kim (THEE nicest ever). David Beckham. Magic Johnson.,Woloolingitup,4m,0,0,0,12,11,2,0,1,0,0,0,0
133,Jim Carrey en su época Prime es lo más gracioso que existe en todo el cine.,Y3DAYh,16m,0,0,0,4,16,0,0,1,0,0,0,0
134,Shamefully Done....Beverly Hills Cop 2 was directed by Late Tony Scott..David Dhawan copied Beverly Hills Cop Series in Bade Mia Chote Miya 1999 too. He also copied Jim Carrey movies like Dumb and Dumbmer in many films. Aankhen had a Vulgar song too featuring Shilpa Shirodkar too,BBHASKARAGNIHOT,18m,0,0,6,248461,47,1,3,1,0,0,0,0
135,I purchased this print from Comedian Jim Carrey. It is 100% spot on. #BanAssaultWeaponsNow ,WEMUSTOKE,11m,1,0,1,38,14,0,0,1,0,0,0,0
136,Jim Carrey did this bit better.,AlaricBalth,21m,0,0,0,7,6,0,0,1,0,0,0,0
137,Name the movie with Jim Carrey!,CPR1881,4h,0,1,0,8,6,0,0,1,0,0,0,0
138,LOOKING LIKE JIM CARREY TO ME. LIAR LIAR. OVERACTOR! JEZEBEL! IF YOU KNOW YOU KNOW..,TrumpWonUknow,13h,0,0,0,12,15,1,1,1,0,0,0,0
139,"And 23 years ago when I first joined his newsroom and journalism, I remember he came across like this stern General when we first him. …But very soon we realised he was infact Jim Carrey ",kayezad,1h,0,122,0,38,35,1,1,1,0,0,0,0
140,"NÃO ERA NEM PRA TER CONTRATADO, JÁ COMEÇA AÍ. DIRETORIA = JIM CARREY",pokepauper_br,1h,0,0,0,1,13,0,0,1,0,0,0,0
141,Tener a Jack black como bowser y Jim carrey a Eggman es lo mejor que nos ha pasado en esta vida Digan GRACIAS,mamafurba,1h,43,3,5,391,23,0,0,1,0,0,0,0
142,"Mom: ""Look our babe talking with Jim Carrey""",haydiesque,1h,0,0,0,13,8,0,0,1,0,0,0,0
143,Doesn't Rick Scott look like the Fire Marshall character Jim Carrey did on In Living Color!,JacyFraklyn,2h,1,1,0,33,16,1,0,1,0,0,0,0
144,Le film le plus sous-coté de Jim Carrey,Riiiveeers,2h,0,0,1,959,8,0,0,1,0,0,0,0
145,Jim Carrey is the best actor,LifeLacker420,3h,6,1,0,115,6,1,0,1,0,0,0,0
146,When Your Adrenochrome dries up #SaveTheChildren Johnny Depp 2016/2018 Jim Carrey 2016/2018 #WhereAreTheChildren,l42022425,3h,25,1,15,792,13,0,0,1,0,0,0,0
147,Which celebrities do you get compared to? Soy el hijo perdido de Jim Carrey.,Jona_Roque,4h,8,1,1,271,14,0,0,1,0,0,0,0
148,Jim Carrey went crazy in the mask,quvism,4h,2,1,0,55,7,0,1,1,0,0,0,0
149,Warner Bros está planejando 'Ace Ventura 3' com o retorno de Jim Carrey - https://cinepop.com.br/warner-bros-esta-planejando-ace-ventura-3-com-o-retorno-de-jim-carrey-407770/,cinepop,4h,30,2,1,1380,15,0,0,1,0,0,0,0
150,"I think if you were not familiar with real Andy Kaufman, maybe Jim Carrey’s performance of his bits in Man on the Moon can standalone as funny but doesn’t really work as funny when you can compare to the original. Separately, do you like the Silver Diner?",EvanSusser,4h,1,1,0,217,47,2,1,1,0,0,0,0
151,Alàric acaba de enterarse de tu opinión sobre Jim Carrey... Atentos al próximo programa.,Minaya_Rubio,4h,5,2,1,695,14,0,0,1,0,0,0,0
152,OMG LOVE IT! JIM CARREY ROCKS,CINDYOLYNEY,4H,1,122,0,3,6,1,0,1,0,0,0,0
153,Yyyeeesss! I loved when Jim Carrey movies got cartoons. The Dumb And Dumber one was brilliant too. Loved Godzilla and Men In Black. Timon and Pumba from The Lion King too. ,Paul_Berney,4h,1,1,0,8,31,2,1,1,0,0,0,0
154,(Jim Carrey | Nicholas Cage) as Tom Cruise in Top Gun.,GanWeaving,4h,12,1,5,1249,11,1,0,1,0,0,0,0
155,Jim Carrey ,SteelyStreams,4h,102,491,538,248461,2,0,0,1,0,0,0,0
156,"Como diría el Chary de Loquero, para qué toda esta dialectica en Historia? Si al final podes analizar la historia, la religión y la economía con una comedia de Jim Carrey",frxntovik,4h,2,0,1,88,31,0,0,1,0,0,0,0
157,Jim Carrey exposing the illuminati. I heard the audience was so quiet you could hear a pin drop but they added the laughter afterwards.,bookis714,5h,14,122,4,246,24,1,0,1,0,0,0,0
158,Fuente: una película de Jim Carrey. El final....,Migsasua,5h,12,2,2,771,8,0,0,1,0,0,0,0
159,"one that i get pretty commonly is ""you look like a who from the jim carrey grinch movie"" they're correct of course but woah",Nooramorph,5h,178,9,0,6531,24,3,0,1,0,0,0,0
160,Jim Carrey hat bei Saturday Night Live. Es war mal ein Witz. Jetzt ist es - wie vieles - Realität.,unblogled,5h,80,1,4,1149,20,0,0,1,0,0,0,0
161,Taylor Swift spotted out to dinner in NYC tonight with Jack Antonoff,TSwiftNZ,16h,50900,389,10500,3900000,12,1,0,1,0,0,0,0
